发布日期,平台,Gamer520标题,清理后标题,标签,一句话描述,推荐度0-5,推荐标签,判断理由,链接
2026-05-29,PC,星尘轨迹 魔女之愿,星尘轨迹：魔女之愿,像素SRPG；奇幻冒险；回合战术；卡牌,在奇幻旅途中带领伙伴作战，用回合战术和卡牌机制推进一段舞台感较强的冒险故事。,4,推荐,叙事、伙伴成长和策略战斗都比较贴合；题材偏日式奇幻，不是最核心口味,https://www.gamer520.com/114473.html
2026-05-29,PC,武道残编,武道残编,武侠放置；门派修炼；奇遇；成长,以门派修炼、江湖奇遇和数值成长为核心的武侠放置RPG。,1,不优先,有江湖奇遇但核心是放置成长和数值循环，与你偏好的主动选择压力较远,https://www.gamer520.com/114476.html
2026-05-29,PC,团队对战经理2,团队对战经理2,电竞管理；阵容构筑；战术模拟,扮演电竞战队经理，通过选手、阵容和战术安排来赢下赛季。,3,可试,可研究管理循环和阵容决策；叙事与氛围弱,https://www.gamer520.com/114271.html
2026-05-29,PC,罗马拓荒录,罗马拓荒录,罗马；城市建设；资源经营,在古罗马背景下建设定居点、组织资源生产并扩张城镇。,2,观望,有经营结构，但题材和叙事牵引不算贴合,https://www.gamer520.com/114360.html
2026-05-29,PC,矮人吞山,矮人吞山,矮人；挖掘；资源经营；建设,围绕矮人开采、地下建设和资源循环展开的策略经营游戏。,2,观望,可能有资源链和建设循环，但需要看系统深度,https://www.gamer520.com/113877.html
2026-05-29,PC,废墟国度 符文之门,废墟国度：符文之门,奇幻废土；符文；探索；RPG,在废墟化的奇幻国度中探索符文之门，围绕冒险和成长展开。,2,观望,标题和题材有探索感，但信息不足，先低权重收录,https://www.gamer520.com/111803.html
2026-05-29,PC,拾光旅人 Outbound,拾光旅人 Outbound,露营车；开放世界；采集制作；轻生存,开着可改装露营车在开放世界旅行，通过采集、制作和建造经营自己的移动小家。,3,可试,贴近轻探索、生活感和空间经营；叙事密度可能偏弱,https://www.gamer520.com/113336.html
2026-05-29,PC,风屿奇航,风屿奇航,航海；岛屿探索；冒险；资源,以群岛航行为核心，在海上探索、收集资源并推进冒险。,3,可试,若偏航线探索和资源决策会有参考价值；先作为轻探索候选,https://www.gamer520.com/110475.html
2026-05-29,PC,枪匠模拟器,枪匠模拟器,枪械工坊；拆装；订单经营；模拟,经营枪械工坊，完成拆解、修理、改装和订单交付。,1,不优先,系统可能细，但叙事、人文和探索弱,https://www.gamer520.com/114433.html
2026-05-29,PC,薛定谔的电话 Schrödinger’s Call,薛定谔的电话,文字冒险；末日前通话；情绪叙事；绘本,在世界末日前接通一通通电话，倾听他人的遗憾并寻找连接和救赎。,5,强推,短篇叙事、形式感和情绪核心非常贴合你的口味,https://www.gamer520.com/114429.html
2026-05-29,PC,西部幽魂,西部幽魂,西部；幽灵；冒险；荒野,以西部荒野和幽灵元素为背景展开一段带神秘色彩的冒险。,2,观望,西部边缘秩序题材可看，但类型未必贴叙事探索,https://www.gamer520.com/114427.html
2026-05-29,PC,地心护核者,地心护核者,沙盒生存；挖矿；基地建设；多人,在地下世界挖掘资源、建设基地、击败怪物并逐步探索核心秘密。,3,可试,探索和建设循环扎实，但偏长线采集，不是核心叙事口味,https://www.gamer520.com/114423.html
2026-05-29,PC,东京股神 STONKS-9800,东京股神 STONKS-9800,股市模拟；80年代日本；资产经营；生活,在80年代日本泡沫经济中买卖股票、经营资产并安排商人的日常生活。,4,推荐,经营计算、时代气氛和生活循环都很适合做系统参考,https://www.gamer520.com/114419.html
2026-05-29,PC,Million Depth,Million Depth,地下探索；动作冒险；科幻异境,深入未知地下世界探索和战斗，在层层深处寻找真相与资源。,2,观望,题材有异境探索感，但可能偏动作，先观望,https://www.gamer520.com/102123.html
2026-05-29,PC,盒子面包坊,盒子面包坊,烘焙店；小店经营；轻模拟,经营一家盒子风格的面包坊，通过制作和销售面包维持小店运转。,3,可试,适合观察小经营循环，但可能过轻,https://www.gamer520.com/114412.html
2026-05-28,PC,传颂之物 循白之证,传颂之物：循白之证,剧情RPG；战棋；奇幻；系列叙事,以视觉小说式剧情和战棋战斗结合，继续展开系列奇幻世界中的人物旅程。,3,可试,叙事密度高、战斗有策略；系列门槛和日式风格较强,https://www.gamer520.com/114366.html
2026-05-28,PC,歧路旅人0,歧路旅人0,像素JRPG；群像冒险；城镇叙事；回合制,以复古像素和回合制战斗讲述多角色交织的大陆冒险。,3,可试,可看多角色路线和城镇叙事组织；传统JRPG成分重,https://www.gamer520.com/110932.html
2026-05-28,PC,都市 天际线2,都市：天际线2,城市建设；交通规划；市政管理,从道路、分区、交通和公共服务入手，规划并管理一座现代城市。,2,研究可看,对城市系统有参考，但与叙事冒险方向较远,https://www.gamer520.com/66665.html
2026-05-28,PC,荒域奇谭,荒域奇谭,荒野奇幻；冒险RPG；探索,在荒域世界展开奇幻冒险，通过探索和战斗推进旅程。,2,观望,有冒险感，但暂时缺少强叙事或机制亮点,https://www.gamer520.com/112726.html
2026-05-28,PC,诡岛灵探,诡岛灵探,灵异调查；岛屿悬疑；推理,在充满怪异传闻的岛屿上调查异常事件，逐步拼出背后的真相。,4,推荐,调查、悬疑和封闭场域比较贴合；值得进一步验证质量,https://www.gamer520.com/111548.html
2026-05-28,PC,废土履迹,废土履迹,废土；路线探索；生存；资源压力,在废土环境中沿路线前进，处理资源、危机和生存选择。,3,可试,如果有行进路线和生存抉择，会贴近你喜欢的压力结构,https://www.gamer520.com/112935.html
2026-05-28,PC,以太与铁,以太与铁,架空1930年代；浮空纽约；noir RPG；载具战斗,进入反重力科技改写的1930年代纽约，组建团队、改装座驾并揭开浮空都市的黑暗秘密。,5,强推研究,和你的黑色城市犯罪项目高度相关，适合研究城市、阶级和叙事RPG结构,https://www.gamer520.com/111139.html
2026-05-28,PC,灰烬之国,灰烬之国,黑暗奇幻；RPG；荒芜国度,在灰烬笼罩的奇幻国度中冒险，面对衰败世界里的战斗与探索。,2,观望,气氛可能强，但类型可能偏战斗刷图,https://www.gamer520.com/111137.html
2026-05-28,PC,终极幸运之塔,终极幸运之塔,爬塔；概率；roguelike；短局策略,围绕运气和风险爬塔，在随机事件与奖励之间做取舍。,2,观望,机制可能有短局策略，但叙事弱,https://www.gamer520.com/82127.html
2026-05-28,PC,历史的终结,历史的终结,沙盒RPG；开放路线；历史幻想,在开放式世界中扮演角色，沿着不同路线介入历史终局。,2,观望,标题和沙盒结构有潜力，但需要复核文本与系统质量,https://www.gamer520.com/103573.html
2026-05-28,PC,冒险家商店,冒险家商店,商店经营；冒险者；商品供给,经营面向冒险者的商店，通过进货、售卖和需求管理维持生意。,3,可试,适合看经营与冒险生态如何互相驱动,https://www.gamer520.com/112123.html
2026-05-27,PC,帕格尼物语,帕格尼物语,村落经营；幻想岛屿；资源链；联盟,在幻想岛屿上建设村落、组织生产链，并让居民与周边势力协作发展。,3,可试,经营与定居点系统有参考价值；叙事可能较轻,https://www.gamer520.com/67792.html
2026-05-27,PC,8020号指令,8020号指令,科幻恐怖；电影化叙事；互动冒险,以科幻恐怖为基调，通过电影化互动推进一场危险任务中的生存故事。,3,可试,若偏互动电影和恐怖叙事，值得看节奏设计,https://www.gamer520.com/113293.html
2026-05-27,PC,末日车队 支持者版,末日车队,末日生存；车队管理；路线选择；资源,带领末日车队穿越危险地带，在路线、资源和队伍状态之间做艰难选择。,4,推荐,行进式压力、路线和资源管理可能很适合你的结构研究,https://www.gamer520.com/89715.html
2026-05-27,PC,地狱黑杰克 Black Jacket,地狱黑杰克 Black Jacket,黑杰克；赌场；概率博弈；风险收益,以黑杰克赌局为核心，在地狱式牌桌上用概率和风险换取收益。,3,可试,可作为赌局压力、概率和资源交换的机制参考,https://www.gamer520.com/113455.html
2026-05-27,PC,真探3,真探3,文字推理；质询；证据链；多线悬疑,通过线索收集、证据交叉和质询系统主动推理案件真相。,5,强推研究,非常适合研究侦探游戏的主动推理、线索组织和质询结构,https://www.gamer520.com/113446.html
2026-05-27,PC,蛇之凝视 Serpent’s Gaze,蛇之凝视 Serpent’s Gaze,黑暗奇幻；神秘学；解谜；恐怖,围绕蛇之凝视展开神秘学气氛浓厚的黑暗冒险与解谜。,3,可试,题材和氛围可能可用，但需复核玩法是否足够叙事化,https://www.gamer520.com/114355.html
2026-05-27,PC,风信楼,风信楼,古风经营；情报据点；角色养成；多结局,经营一座风月与情报交织的据点，在人物关系和势力选择中走向不同结局。,4,推荐,经营场所、情报网络、人物关系和多结局都很有参考价值,https://www.gamer520.com/114358.html
2026-05-27,PC,疫区档案,疫区档案,生存恐怖；回合战术；资源匮乏；死城,在被疫情吞噬的区域中调查和战斗，用有限资源穿过危险现场。,4,推荐,资源压力、箱庭迷宫和回合制恐怖设计很值得研究,https://www.gamer520.com/113498.html
2026-05-27,PC,异界驿站,异界驿站,驿站经营；异世界来客；地点事件,经营连接异界的驿站，接待各类来客并处理由此引发的事件。,3,可试,地点经营和来客事件可能贴近你做场景节点的思路,https://www.gamer520.com/113004.html
2026-05-27,PC,九王 9 Kings,九王 9 Kings,王国策略；roguelike构筑；短局,在短局策略框架中组合王国能力，用构筑和运营击败一轮轮挑战。,3,可试,短局策略压力可以研究，但叙事与城市感弱,https://www.gamer520.com/93312.html
2026-05-26,PC,遥远行星 建造师,遥远行星：建造师,太空殖民；基地建造；资源生产,在遥远星球上建设基地、组织资源生产并扩展殖民设施。,2,观望,建设循环可看，但题材和叙事方向较远,https://www.gamer520.com/114269.html
2026-05-26,PC,一日时光 园林与山野,一日时光：园林与山野,田园生活；园林；休闲探索；自然,在山野与园林之间度过慢节奏的一日，进行轻松的生活与自然探索。,3,可试,贴近轻生活和慢节奏探索；系统深度可能有限,https://www.gamer520.com/114267.html
2026-05-26,PC,心之岛 豪华数字版,心之岛,岛屿生活；建造；关系；休闲模拟,在岛屿上建设家园、结识角色并经营悠闲生活。,3,可试,可以看生活任务与场景经营，但可能偏日课,https://www.gamer520.com/110987.html
2026-05-26,PC,安尼姆的无尽旅途,安尼姆的无尽旅途,暗黑童话；兽人角色；旅途RPG；队伍,带领兽人角色踏上暗黑童话式旅途，在冒险、战斗和成长中前进。,4,推荐,旅途、角色、暗黑氛围和资源压力可能比较合口味,https://www.gamer520.com/114059.html
2026-05-26,PC,非生物因素 支持者版,非生物因素,科研设施；异常事件；生存建造；合作,困在异常失控的科研设施中，探索、制造装备并和同伴维持生存。,4,推荐,研究所灾变和设施探索很有场景设计参考价值,https://www.gamer520.com/76143.html
2026-05-26,PC,驯牌师 Decktamer,驯牌师 Decktamer,卡牌构筑；怪物捕捉；roguelike,用卡牌机制捕捉和驱使怪物，在不断变化的战斗中构筑队伍。,3,可试,机制可能新颖，适合看短局构筑；叙事弱,https://www.gamer520.com/102924.html
2026-05-26,PC,平行人生 Paralives,平行人生 Paralives,人生模拟；建造；生活关系,创建角色、设计房屋并模拟日常生活与人际关系。,2,观望,生活模拟可研究，但投入大且叙事目标不强,https://www.gamer520.com/114244.html
2026-05-26,PC,Bus Bound,Bus Bound,公交驾驶；城市路线；职业模拟,驾驶公交穿行城市路线，完成站点服务和交通运营任务。,1,不优先,城市日常有参考，但玩法主要是驾驶模拟,https://www.gamer520.com/112707.html
2026-05-26,PC,十年不晚 Best Served Cold,十年不晚 Best Served Cold,叙事悬疑；酒馆；复仇；调查,在酒馆与城市阴影之间收集消息，围绕复仇和悬疑推进故事。,4,推荐,标题和英文名指向犯罪/复仇/酒馆叙事，值得复核,https://www.gamer520.com/92569.html
2026-05-25,PC,恶魔学校,恶魔学校 Demonschool,战术RPG；校园日程；恶魔；关系,在校园日程和恶魔战斗之间分配时间，和同伴完成任务并揭开异常。,5,强推研究,日程、关系、支线和战术战斗结合得很适合机制研究,https://www.gamer520.com/102487.html
2026-05-25,PC,威赫战线 MENACE,威赫战线 MENACE,科幻战术；小队管理；任务计划,指挥一支边境小队完成科幻战术任务，在人员、装备和计划之间做取舍。,3,可试,小队与任务计划有研究价值；题材偏军事科幻,https://www.gamer520.com/106813.html
2026-05-25,PC,摩天法师塔,摩天法师塔,魔法塔；空间经营；资源管理,建造和管理一座向上延展的法师塔，安排空间、资源和魔法生产。,2,观望,可观察垂直空间经营，但需要复核系统,https://www.gamer520.com/114211.html
2026-05-25,PC,星际钻探站,星际钻探站,太空钻探；资源采集；基地模拟,运营星际钻探设施，围绕采掘、加工和基地扩张建立资源链。,2,观望,资源链可能有用，但叙事和人物弱,https://www.gamer520.com/114209.html
2026-05-25,PC,黑森町绮谭,黑森町绮谭,日式怪谈；小镇异常；叙事探索,在黑森町调查地方怪谈和异常事件，逐步进入小镇隐藏的故事。,4,推荐,小镇、怪谈、地方性和异常事件很贴近你的场景兴趣,https://www.gamer520.com/114203.html
2026-05-25,PC,奶茶店大亨,奶茶店大亨,奶茶店；小店经营；饮品制作,经营奶茶店，研发饮品、服务顾客并扩大店铺收益。,2,观望,可研究小店循环，但可能过轻、过公式化,https://www.gamer520.com/114201.html
2026-05-24,PC,皇帝与社稷,皇帝与社稷,古代治理；朝政；民生；策略模拟,扮演古代君主处理朝政、财政、民生和权力平衡。,4,推荐研究,适合研究统治、财政、民生、压榨与权力系统,https://www.gamer520.com/79965.html
2026-05-24,PC,指环王™ 夏尔传说,指环王：夏尔传说,夏尔生活；做饭；装饰；关系；轻探索,在夏尔过霍比特式田园生活，通过料理、装饰、探索和社交融入村庄。,3,可试,田园生活氛围贴轻体验，但可能日课重复,https://www.gamer520.com/96959.html
2026-05-24,PC,迷雾计划,迷雾计划,迷雾；悬疑；生存/策略,围绕迷雾中的未知威胁展开探索、应对和生存抉择。,2,观望,主题有悬疑感，但需要进一步复核类型和质量,https://www.gamer520.com/114188.html
2026-05-24,PC,黑暗中的火花,黑暗中的火花,黑暗幻想；探索；动作RPG,在黑暗幻想世界中追寻微弱火光，进行探索与战斗。,2,观望,有氛围但类型未明，先低权重收录,https://www.gamer520.com/111565.html
2026-05-24,PC,西部牛仔的一生,西部牛仔的一生,西部生活；边境；角色成长；模拟,扮演西部牛仔，在边境世界中经历生计、冒险和成长。,3,可试,西部边境秩序和角色生活可作题材参考,https://www.gamer520.com/102807.html
2026-05-24,PC,几度相逢若初见,几度相逢若初见,情感叙事；视觉小说；重逢,以重逢和情感关系为核心展开一段视觉小说式叙事。,2,观望,可能是短篇情感体验，但需确认文本质量,https://www.gamer520.com/114179.html
2026-05-23,PC,四海兄弟 故乡,四海兄弟：故乡,黑帮犯罪；电影化叙事；家族；暴力,回到黑帮家族与故乡的犯罪世界，在忠诚、暴力和命运之间推进故事。,4,推荐研究,适合研究犯罪叙事、权力结构和电影化场面,https://www.gamer520.com/109576.html
2026-05-23,PC,深海迷航2,深海迷航2,深海探索；生存建造；环境叙事,潜入陌生深海生态，采集资源、建造设备并探索海底秘密。,3,可试,探索氛围强，但偏生存建造，不是核心叙事口味,https://www.gamer520.com/113387.html
2026-05-23,PC,最后的加油站,最后的加油站,加油站经营；公路；夜间事件；轻恐怖,经营偏僻加油站，在日常服务、店铺运营和夜间异象之间维持生意。,4,推荐,小地点经营、过路人和夜间禁忌很适合场景设计参考,https://www.gamer520.com/112593.html
2026-05-23,PC,污痕圣杯 阿瓦隆的陨落,污痕圣杯：阿瓦隆的陨落,黑暗奇幻；开放世界RPG；阿瓦隆,在被污染的阿瓦隆世界中冒险，通过探索、战斗和选择寻找出路。,3,可试,气氛强，但题材距离城市犯罪较远,https://www.gamer520.com/65873.html
2026-05-23,PC,最远的边陲,最远的边陲,城镇建设；中世纪；资源压力；防御,从荒地建立边陲城镇，管理粮食、疾病、防御和居民生计。,4,推荐研究,资源、民生、灾害和城镇压力很适合系统参考,https://www.gamer520.com/39759.html
2026-05-23,PC,拓荒商客 Saleblazers,拓荒商客 Saleblazers,商店经营；开放世界；生存冒险,在开放世界中边冒险边开店，通过战斗、采集和销售维持商业扩张。,3,可试,赚钱、经营和冒险混合结构值得看,https://www.gamer520.com/80895.html
2026-05-23,PC,战争传说,战争传说 Wartales,佣兵团；开放世界；战术RPG；资源,带领佣兵团在开放世界接任务、养队伍并处理粮食、金钱和战斗风险。,4,推荐研究,队伍、路线、资源和任务压力组合很适合机制参考,https://www.gamer520.com/25992.html
2026-05-23,PC,夜不能魅 Midnight Special,夜不能魅 Midnight Special,夜间恐怖；短篇悬疑；探索,在午夜特殊事件中探索异常现场，经历一段短篇恐怖悬疑。,3,可试,夜间场景和短篇恐怖可能适合氛围参考,https://www.gamer520.com/92660.html
2026-05-23,PC,Dice A Million,Dice A Million,骰子；概率；策略；短局,围绕骰子结果和概率规划行动，在短局中滚动风险和收益。,3,可试,与你研究骰子、clock和风险分配相关,https://www.gamer520.com/109523.html
2026-05-23,PC,诺兰德,诺兰德,贵族家族；殖民地管理；关系；权力斗争,管理中世纪贵族家族和殖民地，在人物欲望、资源和政治斗争之间求生。,4,推荐研究,家族、阶层、权力和资源管理对城市权贵系统有参考价值,https://www.gamer520.com/114120.html
2026-05-23,PC,阿兹特克 最后的太阳,阿兹特克：最后的太阳,阿兹特克；城市建设；祭祀；末日压力,建设阿兹特克城市，在资源、祭祀和末日危机之间维持文明。,3,可试,统治、资源和仪式压力可作系统参考,https://www.gamer520.com/99882.html
2026-05-22,PC,骑马与砍杀2 霸主,骑马与砍杀2：霸主,中世纪沙盒；战争；势力经营；角色成长,从无名角色起步，在中世纪沙盒中经商、征战、结盟并建立势力。,3,研究可看,大沙盒系统有参考，但投入大、叙事目标松散,https://www.gamer520.com/9348.html
2026-05-22,PC,魔法门之英雄无敌 上古纪元,魔法门之英雄无敌：上古纪元,回合策略；地图探索；资源；英雄培养,带领英雄探索地图、夺取资源、建设城镇并进行回合制战斗。,3,可试,地图探索、资源和战斗结构可研究,https://www.gamer520.com/100598.html
2026-05-22,PC,REPLACED,REPLACED,架空80年代；赛博noir；2.5D动作；电影感,在架空80年代城市中扮演困于人类身体的AI，穿过赛博-noir式阴影世界。,4,推荐看视觉,玩法偏动作，但视觉、城市氛围和身份主题值得参考,https://www.gamer520.com/111771.html
2026-05-22,PC,归零巡礼 亡谍镇魂曲,归零巡礼：亡谍镇魂曲,谍战悬疑；科幻；动作RPG,围绕亡谍与归零巡礼展开带科幻色彩的悬疑冒险。,2,观望,标题有悬疑和谍战感，但需复核玩法是否偏战斗,https://www.gamer520.com/114029.html
2026-05-22,PC,月之深渊,月之深渊,深渊探索；黑暗幻想；动作冒险,向月下深渊进发，在黑暗幻想场景中探索和战斗。,2,观望,氛围可能可看，但信息不足,https://www.gamer520.com/114035.html
2026-05-22,PC,房产达人2,房产达人2,房屋翻修；装修；空间改造；模拟,接手旧房、拆改装修并通过空间设计完成翻新订单。,2,观望,空间改造可参考，但不是叙事/策略主线,https://www.gamer520.com/69397.html
2026-05-22,PC,轮回保险公司 R.I.P.,轮回保险公司 R.I.P.,死亡保险；轮回；经营/叙事,以死亡、保险和轮回为概念，处理一间特殊公司的业务与命运问题。,3,可试,概念有意思，可能适合研究死亡与合同机制,https://www.gamer520.com/105622.html
2026-05-22,PC,终落之城,终落之城,末日城市；殖民模拟；资源；政治抉择,在末日海上城市中建设殖民地，处理资源短缺、派系关系和艰难抉择。,4,推荐研究,城市建造、资源、派系和艰难抉择都很适合系统参考,https://www.gamer520.com/111401.html
2026-05-22,PC,小猫咪大城市,小猫咪大城市,猫咪扮演；城市探索；轻松冒险,扮演走失小猫在大城市中闲逛、捣乱、结识动物并寻找回家的路。,3,可试,轻松城市探索和空间互动适合轻体验参考,https://www.gamer520.com/76403.html
2026-05-22,PC,极乐迪斯科 最终剪辑版,极乐迪斯科：最终剪辑版,侦探RPG；城市街区；对话；政治人格,在破败城区调查凶案，通过技能、对话和自我撕扯理解城市与案件。,5,必看级,你的noir侦探项目基础参考之一，但不是新作,https://www.gamer520.com/33921.html
2026-05-22,PC,最后的星舰 The Last Starship,最后的星舰 The Last Starship,星舰建造；船员管理；太空生存,设计和运营星舰，管理船员、资源和太空任务中的生存问题。,3,可试,资源与船员系统有参考价值；题材偏科幻管理,https://www.gamer520.com/106261.html
2026-05-22,PC,凶影疑云 正式版,凶影疑云 Shadows of Doubt,侦探沙盒；程序城市；私家调查；连环杀手,在程序生成的黑色城市中接委托、搜证、跟踪嫌疑人并追查连环杀手。,5,强推研究,和你的noir城市侦探项目最直接相关；城市、线索、委托都值得拆解,https://www.gamer520.com/56784.html
