帖子发布日期,平台,标题,标签,一句话描述,推荐度,推荐标签,判断理由,链接,用户备注
2026-06-01,Switch,忍者龙剑传：西格玛1,动作；忍者；高速战斗；经典重制,扮演忍者隼龙使用各种武器和忍术高速战斗，击败敌人并追寻真相。,1,非常不推荐,核心是高强度动作和操作挑战，与你的口味完全错位。,https://www.gamer520.com/114624.html,
2026-06-01,Switch,奇迹之星 Wander Stars,回合制RPG；动漫；文字组合；太空冒险；收集,扮演武术家林戈通过组合文字释放自定义攻击，在太空冒险中收集地图碎片并寻找失踪的哥哥。,2,不推荐,动漫风格和文字组合系统有一定形式感，但核心是回合制战斗和收集循环。,https://www.gamer520.com/114618.html,
2026-06-01,Switch,魔饮心语 Tavern Talk,酒馆经营；叙事；奇幻；DND；角色互动；调配魔饮,经营阿斯忒里亚大陆的寻路者酒馆，为冒险者调配魔饮、发布任务、倾听故事并揭开威胁世界的秘密。,4,推荐,酒馆经营、人物互动、叙事任务和世界危机都有很强的吸引力，贴近你喜欢的地点经营和故事推进。,https://www.gamer520.com/114616.html,
2026-06-01,PC,墨境,动作Roguelite；水墨；高速战斗；Build构筑,在水墨风格的奇幻世界中反复闯关，通过构筑Build和高速战斗挑战层层关卡。,1,非常不推荐,核心是高速动作和重复刷局，不符合你的偏好。,https://www.gamer520.com/114304.html,
2026-06-01,PC,挂机升级打怪兽,挂机；放置；升级；打怪；数值成长,通过挂机自动战斗和升级，不断挑战更强大的怪物获取更高收益。,1,非常不推荐,核心是挂机放置和数值成长，属于你明确不喜欢的类型。,https://www.gamer520.com/113956.html,
2026-06-01,PC,绝地鸭卫,塔防；策略；可爱风格；防御,扮演鸭子守卫者，通过布置防御和策略搭配抵御敌人进攻。,2,不推荐,有策略元素但核心是塔防防守，叙事和体验核心较弱。,https://www.gamer520.com/113686.html,
2026-06-01,PC,昏迷3：血脉,2D恐怖；逃亡；韩国巫术；解谜；剧情,在阴影笼罩的昏谜世界中扮演三名主角，躲避傀儡追杀、搜集线索、揭开韩国巫术与诅咒的谜团。,3,可试,恐怖氛围、韩国民俗和解谜有叙事牵引；但核心是逃亡躲藏，体验偏惊吓和回避。,https://www.gamer520.com/112709.html,
2026-06-01,PC,OPUS：心相吾山,叙事冒险；摄影；解谜；乡愁；神话；治愈,扮演迷失在亡土的中年摄影师，与失去记忆的女孩一同旅行，透过相机破解谜团并找到回家的路。,5,优先推荐,摄影、叙事、谜团、双人陪伴和乡愁主题都高度贴合你的口味；形式感和氛围极强。,https://www.gamer520.com/111911.html,
2026-06-01,PC,遗物深渊 Relic Abyss,动作Rogue；弹幕射击；洛夫克拉夫特；探索；Build构筑,在深渊吞噬的世界中探索随机生成关卡，收集圣物和技能，用弹幕射击击败异界头目。,1,非常不推荐,核心是动作Rogue弹幕射击和重复刷局，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/111763.html,
2026-06-01,PC,红色沙漠,开放世界；动作冒险；探索；战斗；龙；中世纪,化身灰鬃领袖克里夫，驰骋帕卫尔大陆、探索遗迹与阿比斯领域，在战斗、冒险与选择中拯救世界。,2,不推荐,有探索和世界氛围，但核心是开放世界动作战斗和高强度操作，偏离你的叙事偏好。,https://www.gamer520.com/110658.html,
2026-06-01,PC,万界·飞升成圣,修仙；放置；飞升；万界；境界突破,穿越万界通过修炼和战斗突破境界，最终飞升成圣。,1,非常不推荐,核心是泛修仙放置和数值成长，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/110245.html,
2026-06-01,Switch,超时空方舟 Chrono Ark,卡牌构筑；Roguelike；组队RPG；策略,组建最多4人队伍，通过卡牌构筑和角色配合探索扭曲之地，收集时空之影拯救世界。,2,不推荐,有组队策略但核心是卡牌构筑和Roguelike循环，属于你通常兴趣较低的类型。,https://www.gamer520.com/105829.html,
2026-06-01,PC,蜀仙传·挂至飞升,修仙；挂机；放置；门派；飞升,在蜀山世界中通过挂机修炼、门派成长和自动战斗逐步飞升成仙。,1,非常不推荐,核心是泛修仙挂机放置，属于你明确不喜欢的类型。,https://www.gamer520.com/105244.html,
2026-06-01,Switch,普力多 普力兹纳 PRITTO PRISONER,解谜；逃脱；监狱；策略,在监狱环境中通过解谜和策略规划寻找逃脱的方法。,2,不推荐,有解谜元素但题材和叙事方向不明确。,https://www.gamer520.com/105233.html,
2026-06-01,Switch,我是未来：悠闲末日生活 I Am Future,休闲生存；末日；屋顶建设；农耕；钓鱼；探索,在洪水淹没的末世城市屋顶上打造温馨营地，种植烹任、拆解制作、雇佣机器人并揭开灾变谜团。,3,可试,舒适生存、基地建设和末日探索有生活气息；但偏建造和自动化，叙事密度可能有限。,https://www.gamer520.com/105224.html,
2026-06-01,PC,水上乐园模拟器,模拟；经营；水上乐园；建设,经营水上乐园，通过建造设施、管理运营和满足游客需求来扩展业务。,1,不推荐,核心是模拟器经营流程，缺少叙事和人物驱动。,https://www.gamer520.com/103022.html,
2026-06-01,PC,明末：欲火重生,动作RPG；明末；历史奇幻；战斗；剧情,在明末乱世中以崭新视角展开一段动作角色扮演之旅，通过战斗和剧情推进故事。,1,非常不推荐,核心是高强度动作战斗和操作挑战，不符合你的口味。,https://www.gamer520.com/102264.html,
2026-06-01,PC,魔女祇兵 Majogami,动作；魔女；奇幻；战斗；角色扮演,扮演魔女使用魔法和武器在奇幻世界中战斗和冒险。,1,非常不推荐,核心是动作战斗，缺乏叙事和体验核心。,https://www.gamer520.com/102018.html,
2026-06-01,PC,超级幻想王国,沙盒；创造；幻想；建设；探索,在幻想王国中自由建造、探索和创造自己的世界。,2,不推荐,沙盒创造自由度较高，但缺乏叙事核心和体验结构。,https://www.gamer520.com/101278.html,
2026-06-01,Switch,喧哗番长 乙女 2nd Rumble,动作；校园；乙女；打架；日式,扮演女番长在校园中通过战斗和交涉解决问题，展开一段喧哗青春故事。,1,非常不推荐,核心是动作战斗和校园打架，不符合你的偏好。,https://www.gamer520.com/95362.html,
2026-06-01,PC,万象群侠传,武侠；RPG；群侠；江湖；战斗,在广阔的武侠世界中招募群侠、修炼武功、闯荡江湖。,1,非常不推荐,核心是武侠战斗和角色成长，缺乏叙事和体验核心。,https://www.gamer520.com/88181.html,
2026-06-01,Switch,电锯甜心 重制 Lollipop Chainsaw RePOP,动作；僵尸；电锯；二次元；重制,扮演僵尸猎人朱丽叶用电锯砍杀僵尸，在校园与城市间展开一段色彩鲜艳的生存战斗。,1,非常不推荐,核心是动作砍杀和二次元卖点，不符合你的偏好。,https://www.gamer520.com/82001.html,
2026-06-01,PC,堕落之主,类魂；动作RPG；黑暗奇幻；战斗；探索,在黑暗奇幻世界中穿越生死两界的庞大战役，用高强度战斗和策略击败堕落之神。,1,非常不推荐,核心是类魂高强度战斗和操作挑战，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/66068.html,
2026-06-01,PC,装机模拟器2,模拟；装机；电脑维修；经营,经营电脑维修店，通过组装、维修和升级电脑完成客户订单并扩展业务。,1,不推荐,核心是模拟器流程操作，缺少人物、叙事和策略取舍。,https://www.gamer520.com/43259.html,
2026-06-01,PC,喵斯快跑 MUSE DASH,音乐；节奏；跑酷；二次元,跟随音乐节拍击打音符，在跑酷式的轨道上完成节奏挑战。,1,非常不推荐,核心是节奏反应操作挑战，不符合你的偏好。,https://www.gamer520.com/42489.html,
2026-06-01,PC,翼星求生 Icarus,开放世界；生存；建造；探索；合作,在外星星球上采集资源、建造基地、抵御环境威胁并完成勘探任务以求生存。,2,不推荐,有生存管理和探索，但偏重建造和长线生存循环，叙事牵引较弱。,https://www.gamer520.com/25485.html,
2026-05-31,PC,赏金乱斗：头号通缉,动作射击；俯视角；多人合作；拉索；PVP,扮演星际赏金猎人在随机关卡中追捕罪犯，用拉索穿越战场并击杀敌人，最终与队友争夺唯一赏金。,1,非常不推荐,核心是快节奏动作射击和多人对抗，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/114554.html,
2026-05-31,PC,巫毒垂钓 Voodoo Fishin',钓鱼；合作；诡异氛围；沼泽；生存,与朋友一起深入诡异沼泽垂钓，打造木偶钓手寻找稀有鱼类，在越来越诡异的环境中努力活着带回渔获。,2,不推荐,诡异沼泽氛围有辨识度，但核心是联机钓鱼和生存，且需要合作游玩。,https://www.gamer520.com/114550.html,
2026-05-31,PC,007：初露锋芒 007 First Light,间谍；动作冒险；潜行；电影化叙事；起源故事,扮演军情六处新兵詹姆斯·邦德，在风景壮阔的地点执行任务、驾驶经典载具，揭露叛逆特工背后的深层阴谋。,3,可试,有电影化叙事和间谍氛围，但核心玩法仍是动作潜行和射击，操作要求较高。,https://www.gamer520.com/114287.html,
2026-05-31,PC,帝国幻想乡 TOHOTOPIA,4X；回合策略；东方Project；战争；城市建设,领导幻想乡少女组成的帝国在快节奏4X对局中探索、扩张、建设城市并征服对手，制霸幻想乡。,2,不推荐,世界观有特色但核心是4X回合策略战争，且带有明显二次元卖点，不符合你的偏好。,https://www.gamer520.com/113734.html,
2026-05-31,PC,黄金河计划 The Gold River Project,开放世界；生存；露营；探索；建造；实验,受邀参加偏远露营之旅却被遗弃，发现自己被困在一场残酷实验中，必须在荒野中搜寻资源、搭建营地并解开谜团以求生还。,3,可试,荒野生存、资源管理和实验悬疑有一定吸引力；但偏重生存建造，叙事密度可能有限。,https://www.gamer520.com/113344.html,
2026-05-31,PC/Switch,兔兔秘密花园2,恋爱冒险；视觉小说；休闲；互动；店员,"因职场失误陷入迷茫的主人公来到""兔兔秘密花园""，与店员互动交流，在休闲氛围中度过治愈夜晚。",1,非常不推荐,主要卖点是恋爱互动和二次元角色，与你明确不喜欢的元素重合。,https://www.gamer520.com/113240.html,
2026-05-31,PC,农庄牌,卡牌构筑；农场；轻度Rogue；植物；经营,在农场播种培育植物，用卡牌构筑和稻草人被动打出组合效果，同时管理税金与应对自然灾害。,2,不推荐,农场题材有生活气息，但核心是卡牌构筑和轻度Rogue循环，属于你通常不优先的方向。,https://www.gamer520.com/112684.html,
2026-05-31,PC,岚：外传,忍者；回合制战斗；像素美术；冲刺斩击；策略动作,"扮演忍者""岚""接受委托前往日本，在融合冲刺斩击的回合制战斗中击败敌人、夺回被盗的东方遗物。",2,不推荐,有忍者故事线但核心是回合制战斗，正好属于你通常兴趣较低的类型。,https://www.gamer520.com/96148.html,
2026-05-31,PC,像素人生 To Pixelia,生活模拟；开放世界；像素；职业选择；城市生活,在像素风格的点点市中开始新生活，自定义角色、选择职业、购买房产，自由决定成为什么样的人。,3,可试,生活模拟和职业选择有一定生活气息和开放度；但可能缺乏叙事核心，偏向自由模拟器。,https://www.gamer520.com/92282.html,
2026-05-30,Switch,布鲁伊寻找金笔 Bluey's Quest For The Gold Pen,儿童；冒险；探索；解谜；手绘；故事驱动,与布鲁伊一家在九个手绘世界中探索、解谜、乘船骑行，帮助找回被抢走的金笔。,2,不推荐,有故事驱动和探索，但针对儿童受众，内容较浅且缺乏策略纵深。,https://www.gamer520.com/114575.html,
2026-05-30,Switch,流明物语：特雷的回忆 LumenTale Memories,怪物收集；RPG；回合制战斗；冒险；记忆；宠物对战,"扮演特雷在美丽世界踏上冒险之旅，捕捉名为""阿尼莫""的生物并与之战斗，逐渐找回遗失的记忆。",2,不推荐,有故事和收集元素，但核心是回合制怪物对战和收集循环。,https://www.gamer520.com/114571.html,
2026-05-30,PC/Switch,挖掘者米娜 Mina the Hollower,动作冒险；平台跳跃；像素；鞭击；探索；地下世界,扮演挖掘者米娜用鞭子和钻头在地下穿梭战斗，探索黑暗世界并拯救被诅咒的岛屿。,2,不推荐,动作冒险和平台跳跃为核心，玩法偏操作挑战。,https://www.gamer520.com/114538.html,
2026-05-30,PC,冰点之下,FMV；末日生存；寒潮；丧尸；骰子选择；关系,寒潮和丧尸将世界推入末日，一名仓库管理员与三名同伴踏上极寒旅途，在骰子和选择中面对希望与阴谋。,3,可试,有末日旅途、骰子选择和生存压力；但真人影像与角色卖点可能压过更扎实的叙事。,https://www.gamer520.com/114533.html,
2026-05-30,PC,战娘自走棋,自走棋；自动战斗；卡牌；羁绊；角色收集；类Rogue,收集并升级不同战娘，通过阵容摆放、羁绊组合和圣物效果完成一轮轮自动战斗。,1,非常不推荐,核心是自动战斗、角色收集和羁绊数值，且卖点偏二次元角色，不符合你的偏好。,https://www.gamer520.com/114531.html,
2026-05-30,PC,纺织者之咏 Voice of Belldona,牌组构筑；类Rogue；回合制战斗；随机地图；角色养成；多结局,选择不同角色探索随机生成的奇幻地图，通过牌组、资源、养成和回合战斗推进一段多结局冒险。,2,不推荐,有探索和多结局，但玩法重点仍是传统卡牌构筑与回合战斗，较难形成你的兴趣。,https://www.gamer520.com/113922.html,
2026-05-30,PC,极限竞速：地平线6,开放世界竞速；日本；东京；公路旅行；汽车收藏；多人,驾驶数百辆汽车探索东京、郊区、码头和工业区，在日本的道路与汽车文化中参加比赛、收集车辆并建设自己的地产。,2,不推荐,日本道路、东京和旅行感有一定吸引力，但玩法核心仍是竞速驾驶和车辆收集。,https://www.gamer520.com/113322.html,
2026-05-30,PC,星火燎原 SPARK IGNITES,2.5D像素；中世纪；朝圣旅途；伙伴命运；分支选择；回合战术,在王国倾颓、古神滋生的世界中与伙伴踏上朝圣之旅，通过关键抉择和策略战斗决定彼此与世界的归宿。,3,可试,视觉气质、旅途和伙伴抉择值得留意；但传统回合制战斗占比可能较高。,https://www.gamer520.com/112453.html,
2026-05-30,PC,识质存在 PRAGMATA,科幻动作冒险；月球设施；双角色协作；入侵解谜；AI失控,调查员休与机器人女孩戴安娜被困在失控 AI 掌管的月球设施中，需要同时使用射击、移动和入侵能力寻找返回地球的方法。,4,推荐,月球设施、搭档关系和双角色混合玩法有明确体验核心；但动作和操作比重可能偏高。,https://www.gamer520.com/111820.html,
2026-05-30,PC,异变金属 Morbid Metal,动作肉鸽；高速砍杀；连击；角色切换；机器军团；Boss战,在快节奏轻肉鸽战斗中实时切换角色，用高速连击撕裂一波波机器军团并挑战首领。,1,非常不推荐,几乎完全以高速砍杀、连击和重复战斗为核心，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/111563.html,
2026-05-30,Switch,链杖 ChainStaff,动作平台；战斗；手绘美术；外星；摇滚,使用可变形的链杖在外星孢子感染的地球上战斗，营救战友并击败变异怪物。,1,非常不推荐,核心是高强度动作平台跳跃和战斗，与你的口味完全错位。,https://www.gamer520.com/111550.html,
2026-05-30,PC,死亡搁浅2：冥滩之上,旅途冒险；末日世界；递送；探索；连接；资源管理；叙事,山姆和伙伴们穿越异界敌人横行的末日世界，完成一段关于递送、连接与人类存续的新旅程。,5,优先推荐,旅途、探索、具体任务、资源管理、人物关系和主题氛围都高度符合你的口味。,https://www.gamer520.com/110514.html,
2026-05-30,Switch,异形战机：战略 I･II 宇宙 R-TYPE TACTICS I･II COSMOS,回合策略；横向卷轴；射击；战术；科幻,体验R-Type系列的战术回合制与横向卷轴射击融合玩法，指挥部队在多条战役线中战斗。,1,非常不推荐,主要是战术回合战斗和横版射击，与你的口味明显错位。,https://www.gamer520.com/110227.html,
2026-05-30,PC,华夏史诗：战国,战国沙盒；开放世界；势力经营；门客；军队；城池；贸易,从乱世中的普通人起步，招揽门客、训练军队、经营城池和商道，也可以独自游历九州并选择自己的争霸路线。,3,研究可看,势力、贸易、队伍和城池系统有研究价值；但大沙盒、战斗和成长内容可能过重。,https://www.gamer520.com/109979.html,
2026-05-30,PC,杀戮尖塔2,Roguelike；卡牌构筑；爬塔；遗物；策略战斗,在不断变化的高塔中组建卡组、收集遗物和药水，用每一轮构筑应对不同敌人与随机挑战。,2,不推荐,完成度和策略性可能很强，但核心仍是传统 Rogue 卡牌战斗，正好属于你通常缺乏兴趣的方向。,https://www.gamer520.com/109811.html,
2026-05-30,PC,卡牌修仙传,修仙；卡牌管理；探索；法宝；炼丹；种植；成长,扮演失忆修仙者，用卡牌和工作台修炼心法、制作法宝、种植灵药并探索秘境，逐步拼回过往记忆。,2,不推荐,卡牌管理和记忆线有一点形式感，但核心仍是泛修仙成长、材料和战斗循环。,https://www.gamer520.com/109807.html,
2026-05-30,PC,剑星,后末日；动作冒险；砍杀；类魂；Boss战；角色养成,伊芙回到被怪物占据的地球，在文明遗迹中追查世界衰败的真相，并通过高速连招和 Boss 战收复失地。,1,非常不推荐,世界和画面可能有吸引力，但核心乐趣是高速动作、连招和高强度战斗，与你的口味明显错位。,https://www.gamer520.com/109449.html,
2026-05-30,Switch,知只大冒险2 Biped 2,合作；解谜；动作冒险；机器人；多人；平台,操控双足机器人在外星探索未知世界，通过合作解谜、使用滑翔翼和抓钩跨越障碍拯救星球。,2,不推荐,主要依赖合作操作和解谜，非单人叙事体验。,https://www.gamer520.com/101844.html,
2026-05-30,PC,异形：盗贼入侵进化,异形宇宙；动作恐怖；秘密基地；陆战队员；生存,殖民地陆战队员祖拉前往秘密基地调查，在异形入侵中依靠反应、技巧和意志力战斗求生。,2,不推荐,秘密基地和恐怖氛围有一定吸引力，但核心依然是动作、生存和反应挑战。,https://www.gamer520.com/100180.html,
2026-05-30,PC,御炮少女 TurretGirls,动作；炮塔防守；外星怪潮；资源升级；重复战斗；擦边角色卖点,操纵孤身守卫发电机的少女，在外星怪物浪潮中瞄准射击、升级炮塔并为最终武器充能。,1,非常不推荐,主要内容是重复怪潮、射击和数值升级，并带有明显擦边角色卖点，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/99310.html,
2026-05-30,PC,牧场物语：来吧！风之繁华集市,牧场生活；小镇；集市经营；种植；动物；居民关系,在煦风镇经营牧场、照料动物、参加每周集市并结识居民，让逐渐冷清的小镇重新热闹起来。,3,可试,生活气息、小镇居民和集市经营符合口味；但传统牧场日课可能带来重复感。,https://www.gamer520.com/98544.html,
2026-05-30,PC,霓虹深渊2,动作肉鸽；平台射击；多人合作；道具联动；重复刷局,在赛博神话风格的深渊中反复闯关，用不同战斗风格和大量道具联动制造每一局的动作混乱。,1,非常不推荐,视觉风格可能鲜明，但主要体验仍是高强度动作、平台射击和反复刷局。,https://www.gamer520.com/96266.html,
2026-05-30,PC,断箭 Broken Arrow,现代战争；大型RTS；即时战术；军队编成；战役,在波罗的海地区指挥现代联合部队，用大量真实军事单位完成大规模即时战术战役。,1,非常不推荐,有战役叙事，但绝大多数注意力都集中在军事单位、编成和即时战斗上。,https://www.gamer520.com/94558.html,
2026-05-30,PC,东京高赛车 Tokyo Xtreme Racer,夜间东京；首都高；赛车；车辆改装；SP精神值战斗；城市氛围,驾驶改装车辆穿梭于封闭的未来东京高速公路，通过速度、走位和独特的 SP 精神值系统击败风格各异的对手。,2,不推荐,夜间东京、城市高速和 SP 精神值系统有一定辨识度，但核心体验仍是竞速驾驶和操作挑战。,https://www.gamer520.com/87722.html,
2026-05-30,PC,泽丰 ZEPHON,末日4X；城市管理；资源经营；探索；外交；回合战术；分支任务,在外星入侵后的末日地球引导幸存者扩张城市、研究科技、探索废墟并在异变生物和机械势力之间寻找生存道路。,3,研究可看,末日城市、资源、探索和分支任务有参考价值；但4X规模和回合战斗可能过重。,https://www.gamer520.com/84733.html,
2026-05-30,PC,风中行者 Windblown,动作Roguelite；高速冲刺；空中岛屿；武器构筑；多人合作；重复刷局,从漂浮村落出发闯入危险漩涡，在不断变化的空中岛屿中高速冲刺、反复战斗并用陨落战士的记忆重铸武器。,1,非常不推荐,美术和空中岛屿有一定气质，但核心是高速动作、技巧挑战、Build构筑和反复死亡刷局，与你的口味明显错位。,https://www.gamer520.com/83964.html,
2026-05-30,PC,深渊学校,叙事探索；深海学校；怪谈；解谜；躲避怪物；逃脱,普通女学生裕熙在校车上醒来后发现学校已经沉入深海，需要解开追随者布置的谜题、躲避怪物并逃回原来的世界。,4,推荐,深海学校、怪谈氛围、叙事牵引、探索和解谜都贴合你的偏好；操作压力看起来也不会成为唯一核心。,https://www.gamer520.com/79125.html,
2026-05-29,PC,武道残编,武侠放置；门派修炼；奇遇；成长,以门派修炼、江湖奇遇和数值成长为核心的武侠放置RPG。,1,不优先,有江湖奇遇但核心是放置成长和数值循环，与你偏好的主动选择压力较远,https://www.gamer520.com/114476.html,
2026-05-29,PC,星尘轨迹：魔女之愿,像素SRPG；奇幻冒险；回合战术；卡牌,在奇幻旅途中带领伙伴作战，用回合战术和卡牌机制推进一段舞台感较强的冒险故事。,4,推荐,叙事、伙伴成长和策略战斗都比较贴合；题材偏日式奇幻，不是最核心口味,https://www.gamer520.com/114473.html,"否, 回合战斗"
2026-05-29,PC,枪匠模拟器,枪械工坊；拆装；订单经营；模拟,经营枪械工坊，完成拆解、修理、改装和订单交付。,1,不优先,系统可能细，但叙事、人文和探索弱,https://www.gamer520.com/114433.html,
2026-05-29,PC,薛定谔的电话,文字冒险；末日前通话；情绪叙事；绘本,在世界末日前接通一通通电话，倾听他人的遗憾并寻找连接和救赎。,5,强推,短篇叙事、形式感和情绪核心非常贴合你的口味,https://www.gamer520.com/114429.html,"否, 纯叙事"
2026-05-29,PC,西部幽魂,西部；幽灵；冒险；荒野,以西部荒野和幽灵元素为背景展开一段带神秘色彩的冒险。,2,观望,西部边缘秩序题材可看，但类型未必贴叙事探索,https://www.gamer520.com/114427.html,"是, 画面风格独特"
2026-05-29,PC,地心护核者,沙盒生存；挖矿；基地建设；多人,在地下世界挖掘资源、建设基地、击败怪物并逐步探索核心秘密。,3,可试,探索和建设循环扎实，但偏长线采集，不是核心叙事口味,https://www.gamer520.com/114423.html,
2026-05-29,PC,东京股神 STONKS-9800,股市模拟；80年代日本；资产经营；生活,在80年代日本泡沫经济中买卖股票、经营资产并安排商人的日常生活。,4,推荐,经营计算、时代气氛和生活循环都很适合做系统参考,https://www.gamer520.com/114419.html,"否, 股市很无聊"
2026-05-29,PC,盒子面包坊,烘焙店；小店经营；轻模拟,经营一家盒子风格的面包坊，通过制作和销售面包维持小店运转。,3,可试,适合观察小经营循环，但可能过轻,https://www.gamer520.com/114412.html,
2026-05-29,PC,罗马拓荒录,罗马；城市建设；资源经营,在古罗马背景下建设定居点、组织资源生产并扩张城镇。,2,观望,有经营结构，但题材和叙事牵引不算贴合,https://www.gamer520.com/114360.html,
2026-05-29,PC,团队对战经理2,电竞管理；阵容构筑；战术模拟,扮演电竞战队经理，通过选手、阵容和战术安排来赢下赛季。,3,可试,可研究管理循环和阵容决策；叙事与氛围弱,https://www.gamer520.com/114271.html,MOBA，可以试试，但必须在PC上
2026-05-29,PC,矮人吞山,矮人；挖掘；资源经营；建设,围绕矮人开采、地下建设和资源循环展开的策略经营游戏。,2,观望,可能有资源链和建设循环，但需要看系统深度,https://www.gamer520.com/113877.html,
2026-05-29,PC,拾光旅人 Outbound,露营车；开放世界；采集制作；轻生存,开着可改装露营车在开放世界旅行，通过采集、制作和建造经营自己的移动小家。,3,可试,贴近轻探索、生活感和空间经营；叙事密度可能偏弱,https://www.gamer520.com/113336.html,
2026-05-29,PC,废墟国度：符文之门,奇幻废土；符文；探索；RPG,在废墟化的奇幻国度中探索符文之门，围绕冒险和成长展开。,2,观望,标题和题材有探索感，但信息不足，先低权重收录,https://www.gamer520.com/111803.html,
2026-05-29,PC,风屿奇航,航海；岛屿探索；冒险；资源,以群岛航行为核心，在海上探索、收集资源并推进冒险。,3,可试,若偏航线探索和资源决策会有参考价值；先作为轻探索候选,https://www.gamer520.com/110475.html,
2026-05-29,PC,Million Depth,地下探索；动作冒险；科幻异境,深入未知地下世界探索和战斗，在层层深处寻找真相与资源。,2,观望,题材有异境探索感，但可能偏动作，先观望,https://www.gamer520.com/102123.html,
2026-05-28,PC,传颂之物：循白之证,剧情RPG；战棋；奇幻；系列叙事,以视觉小说式剧情和战棋战斗结合，继续展开系列奇幻世界中的人物旅程。,3,可试,叙事密度高、战斗有策略；系列门槛和日式风格较强,https://www.gamer520.com/114366.html,
2026-05-28,PC,废土履迹,废土；路线探索；生存；资源压力,在废土环境中沿路线前进，处理资源、危机和生存选择。,3,可试,如果有行进路线和生存抉择，会贴近你喜欢的压力结构,https://www.gamer520.com/112935.html,
2026-05-28,PC,荒域奇谭,荒野奇幻；冒险RPG；探索,在荒域世界展开奇幻冒险，通过探索和战斗推进旅程。,2,观望,有冒险感，但暂时缺少强叙事或机制亮点,https://www.gamer520.com/112726.html,
2026-05-28,PC,冒险家商店,商店经营；冒险者；商品供给,经营面向冒险者的商店，通过进货、售卖和需求管理维持生意。,3,可试,适合看经营与冒险生态如何互相驱动,https://www.gamer520.com/112123.html,
2026-05-28,PC,诡岛灵探,灵异调查；岛屿悬疑；推理,在充满怪异传闻的岛屿上调查异常事件，逐步拼出背后的真相。,4,推荐,调查、悬疑和封闭场域比较贴合；值得进一步验证质量,https://www.gamer520.com/111548.html,
